round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
10,0.5854,0.5854,0.5498481781376519,0.46648130985480385,0.3644386030792339,0.23624595469255663,0.43085638120626457,0.4013888888888889,0.6514336917562724,0.3783632286995516,0.7957262783006869,0.4380165289256198,0.5337278106508876,0.766016713091922,0.7793380140421263,0.4696969696969697,0.23303111982357266,0.8590613931523022,0.6407914764079148,0.7315569695764566,0.7228915662650602,0.6717522997531972,0.5498481781376519,0.46648130985480385,0.3644386030792339,0.23624595469255663,0.43085638120626457,0.4013888888888889,0.6514336917562724,0.3783632286995516,0.7957262783006869,0.4380165289256198,0.5337278106508876,0.766016713091922,0.7793380140421263,0.4696969696969697,0.23303111982357266,0.8590613931523022,0.6407914764079148,0.7315569695764566,0.7228915662650602,0.6717522997531972
11,0.5962,0.5962,0.5683198380566802,0.48841519925857274,0.4162598573037927,0.24271844660194175,0.4581806064645118,0.4263888888888889,0.6597968936678614,0.39461883408071746,0.8038667005850928,0.4462809917355372,0.5479289940828402,0.7827298050139275,0.7723169508525577,0.5,0.24479294290615045,0.8460743801652892,0.6438356164383562,0.7462716245774508,0.6746987951807228,0.6941889163114202,0.5683198380566802,0.48841519925857274,0.4162598573037927,0.24271844660194175,0.4581806064645118,0.4263888888888889,0.6597968936678614,0.39461883408071746,0.8038667005850928,0.4462809917355372,0.5479289940828402,0.7827298050139275,0.7723169508525577,0.5,0.24479294290615045,0.8460743801652892,0.6438356164383562,0.7462716245774508,0.6746987951807228,0.6941889163114202
12,0.6073,0.6073,0.5875506072874493,0.5063330244053136,0.41457003379647017,0.26537216828478966,0.45851382872375873,0.44583333333333336,0.660394265232975,0.4131165919282511,0.8038667005850928,0.45454545454545453,0.5609467455621302,0.7855153203342619,0.7823470411233701,0.4909090909090909,0.2685616270521931,0.8646694214876033,0.6590563165905632,0.750447405050706,0.7590361445783133,0.6883553960062823,0.5875506072874493,0.5063330244053136,0.41457003379647017,0.26537216828478966,0.45851382872375873,0.44583333333333336,0.660394265232975,0.4131165919282511,0.8038667005850928,0.45454545454545453,0.5609467455621302,0.7855153203342619,0.7823470411233701,0.4909090909090909,0.2685616270521931,0.8646694214876033,0.6590563165905632,0.750447405050706,0.7590361445783133,0.6883553960062823
13,0.5975,0.5975,0.603997975708502,0.5220883534136547,0.38208787082238077,0.2686084142394822,0.43785404865044986,0.4361111111111111,0.6517323775388292,0.41199551569506726,0.8097176291020096,0.4462809917355372,0.5644970414201184,0.7855153203342619,0.7853560682046138,0.5,0.2641509433962264,0.8721959858323495,0.654490106544901,0.748260091469477,0.7469879518072289,0.6594121606461746,0.603997975708502,0.5220883534136547,0.38208787082238077,0.2686084142394822,0.43785404865044986,0.4361111111111111,0.6517323775388292,0.41199551569506726,0.8097176291020096,0.4462809917355372,0.5644970414201184,0.7855153203342619,0.7853560682046138,0.5,0.2641509433962264,0.8721959858323495,0.654490106544901,0.748260091469477,0.7469879518072289,0.6594121606461746
14,0.614,0.614,0.6171558704453441,0.5474204510349089,0.42677431468268867,0.284789644012945,0.45051649450183273,0.47638888888888886,0.6565113500597372,0.4204035874439462,0.8158229458153141,0.4793388429752066,0.5798816568047337,0.7827298050139275,0.7753259779338014,0.5242424242424243,0.27101200686106347,0.8631936245572609,0.6613394216133942,0.7611851262676477,0.7469879518072289,0.7188691945254656,0.6171558704453441,0.5474204510349089,0.42677431468268867,0.284789644012945,0.45051649450183273,0.47638888888888886,0.6565113500597372,0.4204035874439462,0.8158229458153141,0.4793388429752066,0.5798816568047337,0.7827298050139275,0.7753259779338014,0.5242424242424243,0.27101200686106347,0.8631936245572609,0.6613394216133942,0.7611851262676477,0.7469879518072289,0.7188691945254656
15,0.6254,0.6254,0.6143724696356275,0.5341365461847389,0.403304543747653,0.3268608414239482,0.5434855048317228,0.48333333333333334,0.7132616487455197,0.4383408071748879,0.8191299923683542,0.5041322314049587,0.6142011834319526,0.7883008356545961,0.7853560682046138,0.5606060606060606,0.2999264886057339,0.8599468713105076,0.6621004566210046,0.7872340425531915,0.7590361445783133,0.693964550145838,0.6143724696356275,0.5341365461847389,0.403304543747653,0.3268608414239482,0.5434855048317228,0.48333333333333334,0.7132616487455197,0.4383408071748879,0.8191299923683542,0.5041322314049587,0.6142011834319526,0.7883008356545961,0.7853560682046138,0.5606060606060606,0.2999264886057339,0.8599468713105076,0.6621004566210046,0.7872340425531915,0.7590361445783133,0.693964550145838
16,0.6262,0.6262,0.6467611336032388,0.5761507568736485,0.42489673300788583,0.3042071197411003,0.4785071642785738,0.49583333333333335,0.6765232974910395,0.4422645739910314,0.8188756041719665,0.512396694214876,0.5952662721893491,0.7938718662952646,0.7733199598796389,0.5454545454545454,0.3018867924528302,0.8690968122786304,0.6659056316590564,0.7838536488367469,0.7590361445783133,0.7029391967691272,0.6467611336032388,0.5761507568736485,0.42489673300788583,0.3042071197411003,0.4785071642785738,0.49583333333333335,0.6765232974910395,0.4422645739910314,0.8188756041719665,0.512396694214876,0.5952662721893491,0.7938718662952646,0.7733199598796389,0.5454545454545454,0.3018867924528302,0.8690968122786304,0.6659056316590564,0.7838536488367469,0.7590361445783133,0.7029391967691272
17,0.6367,0.6367,0.638917004048583,0.56317578004325,0.45794217048441604,0.29449838187702265,0.5331556147950683,0.5208333333333334,0.7028076463560334,0.43329596412556054,0.8219282625286187,0.49586776859504134,0.6236686390532544,0.7938718662952646,0.7793380140421263,0.5606060606060606,0.2847341337907376,0.8699822904368358,0.684931506849315,0.7866375024855836,0.7590361445783133,0.7399596140901952,0.638917004048583,0.56317578004325,0.45794217048441604,0.29449838187702265,0.5331556147950683,0.5208333333333334,0.7028076463560334,0.43329596412556054,0.8219282625286187,0.49586776859504134,0.6236686390532544,0.7938718662952646,0.7793380140421263,0.5606060606060606,0.2847341337907376,0.8699822904368358,0.684931506849315,0.7866375024855836,0.7590361445783133,0.7399596140901952
18,0.6399,0.6399,0.645495951417004,0.5690454124189064,0.4555013143071724,0.2977346278317152,0.571142952349217,0.5180555555555556,0.724910394265233,0.4349775784753363,0.8270160264563724,0.512396694214876,0.6378698224852071,0.7910863509749304,0.79839518555667,0.5969696969696969,0.29306542514089684,0.8735242030696576,0.6856925418569254,0.7838536488367469,0.7349397590361446,0.699798070450976,0.645495951417004,0.5690454124189064,0.4555013143071724,0.2977346278317152,0.571142952349217,0.5180555555555556,0.724910394265233,0.4349775784753363,0.8270160264563724,0.512396694214876,0.6378698224852071,0.7910863509749304,0.79839518555667,0.5969696969696969,0.29306542514089684,0.8735242030696576,0.6856925418569254,0.7838536488367469,0.7349397590361446,0.699798070450976
19,0.6412,0.6412,0.6368927125506073,0.5591597157862218,0.4502440856177244,0.32362459546925565,0.5354881706097967,0.4986111111111111,0.7075866188769414,0.45683856502242154,0.8310862375985755,0.5206611570247934,0.6248520710059171,0.7883008356545961,0.7903711133400201,0.5666666666666667,0.3119333496691987,0.8764757969303424,0.697869101978691,0.8011533107973752,0.7710843373493976,0.7128113080547454,0.6368927125506073,0.5591597157862218,0.4502440856177244,0.32362459546925565,0.5354881706097967,0.4986111111111111,0.7075866188769414,0.45683856502242154,0.8310862375985755,0.5206611570247934,0.6248520710059171,0.7883008356545961,0.7903711133400201,0.5666666666666667,0.3119333496691987,0.8764757969303424,0.697869101978691,0.8011533107973752,0.7710843373493976,0.7128113080547454
20,0.6521,0.6521,0.6639676113360324,0.5835650293481619,0.4693954187007135,0.3365695792880259,0.5798067310896368,0.5486111111111112,0.7258064516129032,0.47533632286995514,0.8323581785805139,0.5537190082644629,0.6568047337278107,0.7883008356545961,0.8004012036108324,0.603030303030303,0.3374172996814506,0.8757378984651711,0.6993911719939118,0.7844501889043547,0.7590361445783133,0.7000224366165583,0.6639676113360324,0.5835650293481619,0.4693954187007135,0.3365695792880259,0.5798067310896368,0.5486111111111112,0.7258064516129032,0.47533632286995514,0.8323581785805139,0.5537190082644629,0.6568047337278107,0.7883008356545961,0.8004012036108324,0.603030303030303,0.3374172996814506,0.8757378984651711,0.6993911719939118,0.7844501889043547,0.7590361445783133,0.7000224366165583
21,0.6552,0.6552,0.6682692307692307,0.5965400061785604,0.5015020653398423,0.3074433656957929,0.5814728423858714,0.55,0.7216248506571087,0.44730941704035876,0.8310862375985755,0.5041322314049587,0.6473372781065089,0.7799442896935933,0.7863590772316951,0.5909090909090909,0.29429061504533205,0.8726387249114522,0.7077625570776256,0.7991648439053489,0.7590361445783133,0.730984967466906,0.6682692307692307,0.5965400061785604,0.5015020653398423,0.3074433656957929,0.5814728423858714,0.55,0.7216248506571087,0.44730941704035876,0.8310862375985755,0.5041322314049587,0.6473372781065089,0.7799442896935933,0.7863590772316951,0.5909090909090909,0.29429061504533205,0.8726387249114522,0.7077625570776256,0.7991648439053489,0.7590361445783133,0.730984967466906
22,0.656,0.656,0.6849696356275303,0.6067346308310164,0.5187758167480285,0.31715210355987056,0.5438187270909697,0.5569444444444445,0.7051971326164874,0.4725336322869955,0.8346476723480031,0.5454545454545454,0.6331360946745562,0.7883008356545961,0.7813440320962889,0.603030303030303,0.3187944131340358,0.8721959858323495,0.6917808219178082,0.7977729170809306,0.7349397590361446,0.7125869418891632,0.6849696356275303,0.6067346308310164,0.5187758167480285,0.31715210355987056,0.5438187270909697,0.5569444444444445,0.7051971326164874,0.4725336322869955,0.8346476723480031,0.5454545454545454,0.6331360946745562,0.7883008356545961,0.7813440320962889,0.603030303030303,0.3187944131340358,0.8721959858323495,0.6917808219178082,0.7977729170809306,0.7349397590361446,0.7125869418891632
23,0.6595,0.6595,0.6680161943319838,0.6048810627123881,0.51314307172362,0.3559870550161812,0.5874708430523159,0.5555555555555556,0.734468339307049,0.4781390134529148,0.8280335792419232,0.5537190082644629,0.6224852071005917,0.7688022284122563,0.8064192577733199,0.6151515151515151,0.33227150208282286,0.8887249114521841,0.7161339421613394,0.7961821435673097,0.7590361445783133,0.7072021539151896,0.6680161943319838,0.6048810627123881,0.51314307172362,0.3559870550161812,0.5874708430523159,0.5555555555555556,0.734468339307049,0.4781390134529148,0.8280335792419232,0.5537190082644629,0.6224852071005917,0.7688022284122563,0.8064192577733199,0.6151515151515151,0.33227150208282286,0.8887249114521841,0.7161339421613394,0.7961821435673097,0.7590361445783133,0.7072021539151896
24,0.6638,0.6638,0.6890182186234818,0.6101328390485017,0.49643259481787455,0.3851132686084142,0.5601466177940686,0.5722222222222222,0.7078853046594982,0.5196188340807175,0.838717883490206,0.5867768595041323,0.6485207100591716,0.7883008356545961,0.7973921765295887,0.5878787878787879,0.3714775790247488,0.8841499409681228,0.726027397260274,0.7949890634320939,0.7469879518072289,0.7159524343728966,0.6890182186234818,0.6101328390485017,0.49643259481787455,0.3851132686084142,0.5601466177940686,0.5722222222222222,0.7078853046594982,0.5196188340807175,0.838717883490206,0.5867768595041323,0.6485207100591716,0.7883008356545961,0.7973921765295887,0.5878787878787879,0.3714775790247488,0.8841499409681228,0.726027397260274,0.7949890634320939,0.7469879518072289,0.7159524343728966
25,0.67,0.67,0.6849696356275303,0.6274328081556997,0.5137063462260608,0.35275080906148865,0.5931356214595135,0.5944444444444444,0.7299880525686977,0.48654708520179374,0.8343932841516154,0.5537190082644629,0.6390532544378699,0.754874651810585,0.8134403209628887,0.6272727272727273,0.35530507228620434,0.8866587957497049,0.7328767123287672,0.7856432690395705,0.7831325301204819,0.736818487772044,0.6849696356275303,0.6274328081556997,0.5137063462260608,0.35275080906148865,0.5931356214595135,0.5944444444444444,0.7299880525686977,0.48654708520179374,0.8343932841516154,0.5537190082644629,0.6390532544378699,0.754874651810585,0.8134403209628887,0.6272727272727273,0.35530507228620434,0.8866587957497049,0.7328767123287672,0.7856432690395705,0.7831325301204819,0.736818487772044
26,0.6728,0.6728,0.6753542510121457,0.5885078776645042,0.5168982350732256,0.3656957928802589,0.6487837387537487,0.5777777777777777,0.7577658303464755,0.5050448430493274,0.8445688120071229,0.5702479338842975,0.6698224852071006,0.7910863509749304,0.7973921765295887,0.6212121212121212,0.3626562117128155,0.8699822904368358,0.7199391171993912,0.8154702724199642,0.7590361445783133,0.7431007404083464,0.6753542510121457,0.5885078776645042,0.5168982350732256,0.3656957928802589,0.6487837387537487,0.5777777777777777,0.7577658303464755,0.5050448430493274,0.8445688120071229,0.5702479338842975,0.6698224852071006,0.7910863509749304,0.7973921765295887,0.6212121212121212,0.3626562117128155,0.8699822904368358,0.7199391171993912,0.8154702724199642,0.7590361445783133,0.7431007404083464
27,0.6728,0.6728,0.6950910931174089,0.6255792400370713,0.5521967705595193,0.36893203883495146,0.6157947350883038,0.6055555555555555,0.7410394265232975,0.4915919282511211,0.83719155431188,0.5785123966942148,0.6674556213017752,0.7910863509749304,0.8214643931795386,0.6363636363636364,0.3504043126684636,0.8925619834710744,0.7480974124809742,0.7989659972161464,0.8192771084337349,0.7020417321067983,0.6950910931174089,0.6255792400370713,0.5521967705595193,0.36893203883495146,0.6157947350883038,0.6055555555555555,0.7410394265232975,0.4915919282511211,0.83719155431188,0.5785123966942148,0.6674556213017752,0.7910863509749304,0.8214643931795386,0.6363636363636364,0.3504043126684636,0.8925619834710744,0.7480974124809742,0.7989659972161464,0.8192771084337349,0.7020417321067983
28,0.6728,0.6728,0.6918016194331984,0.6144578313253012,0.5510702215546376,0.37216828478964403,0.6334555148283906,0.6013888888888889,0.751194743130227,0.5179372197309418,0.8547443398626303,0.5785123966942148,0.6887573964497041,0.807799442896936,0.79839518555667,0.6424242424242425,0.3584905660377358,0.8801652892561983,0.7313546423135464,0.8095048717438854,0.7951807228915663,0.7296387704734126,0.6918016194331984,0.6144578313253012,0.5510702215546376,0.37216828478964403,0.6334555148283906,0.6013888888888889,0.751194743130227,0.5179372197309418,0.8547443398626303,0.5785123966942148,0.6887573964497041,0.807799442896936,0.79839518555667,0.6424242424242425,0.3584905660377358,0.8801652892561983,0.7313546423135464,0.8095048717438854,0.7951807228915663,0.7296387704734126
29,0.6744,0.6744,0.7130566801619433,0.6357738646895273,0.5165227187382652,0.3559870550161812,0.6251249583472176,0.6027777777777777,0.746415770609319,0.5067264573991032,0.8522004578987535,0.5867768595041323,0.6899408284023668,0.8050139275766016,0.7863590772316951,0.6303030303030303,0.35260965449644693,0.8741145218417946,0.728310502283105,0.8323722410021873,0.7831325301204819,0.7399596140901952,0.7130566801619433,0.6357738646895273,0.5165227187382652,0.3559870550161812,0.6251249583472176,0.6027777777777777,0.746415770609319,0.5067264573991032,0.8522004578987535,0.5867768595041323,0.6899408284023668,0.8050139275766016,0.7863590772316951,0.6303030303030303,0.35260965449644693,0.8741145218417946,0.728310502283105,0.8323722410021873,0.7831325301204819,0.7399596140901952
30,0.6778,0.6778,0.694585020242915,0.6234167438986716,0.5024408561772437,0.37216828478964403,0.6164611796067977,0.6041666666666666,0.7580645161290323,0.5100896860986547,0.850928516916815,0.5867768595041323,0.6556213017751479,0.7883008356545961,0.8164493480441324,0.6454545454545455,0.3736829208527322,0.8875442739079102,0.7245053272450532,0.8126864187711275,0.7590361445783133,0.7549921471842046,0.694585020242915,0.6234167438986716,0.5024408561772437,0.37216828478964403,0.6164611796067977,0.6041666666666666,0.7580645161290323,0.5100896860986547,0.850928516916815,0.5867768595041323,0.6556213017751479,0.7883008356545961,0.8164493480441324,0.6454545454545455,0.3736829208527322,0.8875442739079102,0.7245053272450532,0.8126864187711275,0.7590361445783133,0.7549921471842046
31,0.6868,0.6868,0.7128036437246964,0.6462774173617547,0.573037927149831,0.39158576051779936,0.664111962679107,0.6305555555555555,0.7595579450418161,0.5128923766816144,0.8476214703637751,0.6033057851239669,0.6994082840236686,0.7938718662952646,0.7823470411233701,0.6575757575757576,0.3736829208527322,0.8773612750885478,0.7534246575342466,0.8192483595148141,0.7951807228915663,0.7386134170967018,0.7128036437246964,0.6462774173617547,0.573037927149831,0.39158576051779936,0.664111962679107,0.6305555555555555,0.7595579450418161,0.5128923766816144,0.8476214703637751,0.6033057851239669,0.6994082840236686,0.7938718662952646,0.7823470411233701,0.6575757575757576,0.3736829208527322,0.8773612750885478,0.7534246575342466,0.8192483595148141,0.7951807228915663,0.7386134170967018
32,0.6819,0.6819,0.687753036437247,0.6027185665739883,0.5349230191513331,0.3656957928802589,0.6911029656781073,0.6125,0.7843488649940262,0.524103139013453,0.8514372933095904,0.5867768595041323,0.7183431952662722,0.8189415041782729,0.8124373119358074,0.6696969696969697,0.37074246508208775,0.8795749704840614,0.741248097412481,0.8202425929608272,0.7710843373493976,0.7195422930222123,0.687753036437247,0.6027185665739883,0.5349230191513331,0.3656957928802589,0.6911029656781073,0.6125,0.7843488649940262,0.524103139013453,0.8514372933095904,0.5867768595041323,0.7183431952662722,0.8189415041782729,0.8124373119358074,0.6696969696969697,0.37074246508208775,0.8795749704840614,0.741248097412481,0.8202425929608272,0.7710843373493976,0.7195422930222123
33,0.6817,0.6817,0.7257085020242915,0.6589434661723819,0.552009012392039,0.3883495145631068,0.6134621792735755,0.6097222222222223,0.7431302270011948,0.5145739910313901,0.8504197405240397,0.6115702479338843,0.6792899408284023,0.7771587743732591,0.7853560682046138,0.6515151515151515,0.3692722371967655,0.887987012987013,0.7549467275494672,0.8240206800556771,0.8072289156626506,0.7363697554408796,0.7257085020242915,0.6589434661723819,0.552009012392039,0.3883495145631068,0.6134621792735755,0.6097222222222223,0.7431302270011948,0.5145739910313901,0.8504197405240397,0.6115702479338843,0.6792899408284023,0.7771587743732591,0.7853560682046138,0.6515151515151515,0.3692722371967655,0.887987012987013,0.7549467275494672,0.8240206800556771,0.8072289156626506,0.7363697554408796
34,0.6816,0.6816,0.694078947368421,0.6061167747914736,0.5337964701464514,0.42071197411003236,0.6717760746417861,0.6083333333333333,0.7819593787335722,0.5482062780269058,0.8600864919867718,0.6115702479338843,0.7195266272189349,0.8105849582172702,0.7993981945837513,0.6515151515151515,0.40112717471208037,0.884887839433294,0.7511415525114156,0.8307814674885663,0.7951807228915663,0.7042853937626206,0.694078947368421,0.6061167747914736,0.5337964701464514,0.42071197411003236,0.6717760746417861,0.6083333333333333,0.7819593787335722,0.5482062780269058,0.8600864919867718,0.6115702479338843,0.7195266272189349,0.8105849582172702,0.7993981945837513,0.6515151515151515,0.40112717471208037,0.884887839433294,0.7511415525114156,0.8307814674885663,0.7951807228915663,0.7042853937626206
35,0.6855,0.6855,0.694838056680162,0.6153846153846154,0.582238077356365,0.4110032362459547,0.611462845718094,0.6055555555555555,0.752389486260454,0.524103139013453,0.8473670821673874,0.6198347107438017,0.6627218934911243,0.8022284122562674,0.8094282848545636,0.6393939393939394,0.3849546679735359,0.9024498229043684,0.776255707762557,0.8270033803937165,0.8072289156626506,0.75050482387256,0.694838056680162,0.6153846153846154,0.582238077356365,0.4110032362459547,0.611462845718094,0.6055555555555555,0.752389486260454,0.524103139013453,0.8473670821673874,0.6198347107438017,0.6627218934911243,0.8022284122562674,0.8094282848545636,0.6393939393939394,0.3849546679735359,0.9024498229043684,0.776255707762557,0.8270033803937165,0.8072289156626506,0.75050482387256
