round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2147,0.2147,0.01,0.3983635898747124,0.19068188830607838,0.002629107981220657,0.03559870550161812,0.011320754716981131,0.0344311377245509,0.5822695035460993,0.2769895126465145,0.5016658733936221,0.05803571428571429,0.09861278648974668,0.5865921787709497,0.27600202942668695,0.08661417322834646,0.033629794330183434,0.2006610927474237,0.007407407407407408,0.6694699784862116,0.049723756906077346,0.08205320344698389
1,0.2317,0.2317,0.01,0.4548708770135515,0.2489972230792965,0.05276995305164319,0.038834951456310676,0.025157232704402517,0.04940119760479042,0.5127659574468085,0.28562615669339914,0.49500237981913375,0.07589285714285714,0.11670687575392039,0.5363128491620112,0.22425164890918314,0.09448818897637795,0.03446359088382435,0.16138440598872253,0.021773288439955105,0.759241150009779,0.06077348066298342,0.10509554140127389
2,0.3157,0.3157,0.01,0.475070314497571,0.3002159827213823,0.2516431924882629,0.05501618122977346,0.11383647798742139,0.13922155688622753,0.5425531914893617,0.2621838371375694,0.4969062351261304,0.13392857142857142,0.20476477683956573,0.5083798882681564,0.3257229832572298,0.15748031496062992,0.032795997776542525,0.27260353879058913,0.19775533108866442,0.7572853510659104,0.23204419889502761,0.2197452229299363
3,0.3498,0.3498,0.01,0.4822296087957044,0.29836470225239126,0.23624413145539905,0.0744336569579288,0.21949685534591196,0.1781437125748503,0.6184397163120567,0.27884022208513265,0.5768681580199905,0.20089285714285715,0.3100120627261761,0.6256983240223464,0.4241501775748351,0.2047244094488189,0.0358532518065592,0.27435349018082833,0.26105499438832774,0.7635439076862899,0.27624309392265195,0.28362682652678906
4,0.4116,0.4116,0.01,0.5070314497570954,0.3576056772601049,0.40469483568075115,0.07766990291262135,0.2679245283018868,0.26047904191616766,0.6921985815602837,0.2794571252313387,0.581151832460733,0.27232142857142855,0.33323281061519905,0.664804469273743,0.48148148148148145,0.28346456692913385,0.03529738743746526,0.47034804588761425,0.3292929292929293,0.7445726579307648,0.3425414364640884,0.3047958036717872
5,0.441,0.441,0.01,0.5476860138072104,0.4119099043505091,0.42347417840375584,0.16181229773462782,0.3433962264150943,0.3338323353293413,0.6439716312056738,0.30721776681061075,0.6044740599714422,0.3169642857142857,0.42279855247285886,0.6508379888268156,0.5190258751902588,0.3228346456692913,0.07615341856586992,0.36515652342990473,0.4069584736251403,0.7637394875806767,0.4419889502762431,0.39190708130385915
6,0.4732,0.4732,0.01,0.5850166197903349,0.45294662141314407,0.5156807511737089,0.19093851132686085,0.37484276729559746,0.35179640718562877,0.6702127659574468,0.36397285626156695,0.5906711089957163,0.3705357142857143,0.43003618817852834,0.6871508379888268,0.5220700152207002,0.3700787401574803,0.14869371873262924,0.443709896947307,0.4264870931537598,0.7776256600821435,0.43646408839779005,0.35425252903709253
7,0.5,0.5,0.01,0.5839938634620302,0.46004319654427644,0.5474178403755868,0.2297734627831715,0.40943396226415096,0.38622754491017963,0.7127659574468085,0.3892658852560148,0.6211327939076631,0.4330357142857143,0.4574788902291918,0.723463687150838,0.5596144089294774,0.3858267716535433,0.18704836020011117,0.4862920474431266,0.43793490460157125,0.7768433405045961,0.4585635359116022,0.35706257025103033
8,0.5185,0.5185,0.01,0.6174891332140118,0.5112619561863623,0.5491079812206573,0.2912621359223301,0.43144654088050316,0.4251497005988024,0.6879432624113475,0.42381246144355333,0.6149452641599239,0.47767857142857145,0.49487334137515077,0.664804469273743,0.573820395738204,0.3858267716535433,0.22846025569760978,0.4660703869336963,0.5081930415263749,0.782515157441815,0.5193370165745856,0.39509179467965533
9,0.5398,0.5398,0.01,0.6062388136026592,0.4942918852206109,0.6063849765258216,0.3948220064724919,0.5,0.4251497005988024,0.6737588652482269,0.4892041949413942,0.6201808662541647,0.5223214285714286,0.5530759951749096,0.6759776536312849,0.5794013191273465,0.3543307086614173,0.31350750416898276,0.4267937001749951,0.5176206509539842,0.7834930569137493,0.5248618784530387,0.44492319220681903
10,0.5514,0.5514,0.01,0.6341089235489644,0.5279234804072817,0.607887323943662,0.3365695792880259,0.5094339622641509,0.47005988023952094,0.6829787234042554,0.4552745219000617,0.6287482151356497,0.5357142857142857,0.5705669481302774,0.6843575418994413,0.6159309994926433,0.3937007874015748,0.2726514730405781,0.45751506902586037,0.5696969696969697,0.7960101701545081,0.5524861878453039,0.4531659797677033
11,0.5616,0.5616,0.01,0.6305292763998978,0.519592718296822,0.6009389671361502,0.3818770226537217,0.510062893081761,0.45808383233532934,0.7418439716312056,0.49660703269586676,0.6630176106615897,0.5535714285714286,0.5759951749095296,0.7402234636871509,0.6352105530187722,0.3858267716535433,0.3285158421345192,0.47112580206105387,0.5490460157126824,0.811265401916683,0.5359116022099447,0.46309479205695014
12,0.5789,0.5789,0.01,0.6474047558169266,0.5535328602283246,0.6373708920187794,0.4336569579288026,0.5345911949685535,0.49850299401197606,0.7170212765957447,0.5052436767427514,0.6449309852451214,0.5848214285714286,0.6040410132689988,0.7067039106145251,0.6484018264840182,0.4881889763779528,0.3640911617565314,0.48006999805560957,0.5791245791245792,0.798943868570311,0.5911602209944752,0.48576245784938177
13,0.5669,0.5669,0.01,0.6348759907951931,0.5091021289725394,0.6007511737089202,0.3786407766990291,0.5427672955974843,0.47155688622754494,0.7184397163120567,0.4910549043800123,0.6820561637315564,0.59375,0.6127864897466827,0.7178770949720671,0.6590563165905632,0.41732283464566927,0.3007226236798221,0.45090414155162356,0.6044893378226711,0.8265206336788579,0.5359116022099447,0.5222929936305732
14,0.5961,0.5961,0.01,0.6658143697264127,0.5705029311940759,0.6570892018779343,0.4563106796116505,0.5836477987421383,0.5194610778443114,0.7631205673758865,0.5169648365206663,0.6658733936220848,0.625,0.629372738238842,0.7541899441340782,0.6615930999492643,0.4881889763779528,0.37131739855475265,0.4837643398794478,0.571043771043771,0.8202620770584784,0.574585635359116,0.5118021730985388
15,0.588,0.588,0.01,0.6402454615187931,0.527306386917618,0.603943661971831,0.49514563106796117,0.590566037735849,0.49101796407185627,0.7382978723404255,0.5515114127082048,0.6963350785340314,0.625,0.6396260554885405,0.729050279329609,0.6656519533231862,0.44881889763779526,0.39994441356309063,0.441571067470348,0.6002244668911335,0.8302366516722081,0.5414364640883977,0.5485200449606594
16,0.6088,0.6088,0.01,0.6732293531066224,0.5813020672631903,0.6553990610328638,0.46601941747572817,0.6031446540880503,0.5284431137724551,0.7581560283687944,0.526835286859963,0.6987148976677773,0.6517857142857143,0.6516887816646562,0.7486033519553073,0.6707255200405885,0.5039370078740157,0.3885491939966648,0.48201438848920863,0.6053872053872054,0.826325053784471,0.585635359116022,0.5612588984638441
17,0.6174,0.6174,0.01,0.6801329583226796,0.5806849737735267,0.6574647887323943,0.4886731391585761,0.6150943396226415,0.5389221556886228,0.7368794326241135,0.5527452190006169,0.6882436934792956,0.6383928571428571,0.6643546441495778,0.7374301675977654,0.6920345002536783,0.5354330708661418,0.4188438021122846,0.47987555901224965,0.6453423120089786,0.8218267162135733,0.6132596685082873,0.5678156612963656
